"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2017-10-06,"",0,8,24,0,0,0,0,0,0,0,0,0,0
2018-05-31," think  meant  diesel truck   bad  someone smoking",3,0,129,1,0,1,1,0,1,0,1,1,0
2018-05-31,"whats  pick comment    different option post pics",19,8,34,0,0,0,0,0,0,0,0,0,2
2018-05-31,"auto recirc mode sounds terrific hate   driver  front  smoking  heavy traffic   car fills  2nd hand smoke cant wait    tesla one day",7,2,270,1,1,1,1,0,2,0,0,2,0
2018-05-31,"model sx also   acid gas filter  alkaline gas filtera carbon monoxide detector  autoswitches car  recirc mode   prob tell people    filters  giant   big  fit  model 3",211,566,5000,0,0,0,1,0,0,0,0,1,1
2018-05-31," second  wow  raise    awesome",0,1,54,0,0,0,0,0,0,0,0,0,0
2018-05-31,"    tesla beamed  software update  model 3s  improve  braking  consumer repos  faulted   result  car received  recommended rating     denied just nine days earlier",4,18,53,1,2,0,1,1,2,0,1,2,3
2018-05-31,"wait   mean",6,3,93,0,1,0,0,0,0,0,0,1,0
2018-05-31,"  mention    standard feature",8,0,303,0,0,0,0,0,0,0,0,0,1
2018-05-31,"thats amazing  thoughtful wow thank ",1,0,160,0,0,0,0,0,0,0,1,0,1
2018-05-31," also filters    poisonous exhaust fumes  around   youre sitting  traffic ive found since  got  electric car  im quite sensitive  exhaust fumes  get  headache  quickly now  always  air recirculation  now especially  traffic",9,34,940,1,0,1,1,2,1,1,1,3,2
2017-10-06," can",54,456,975,0,0,0,0,0,0,0,0,0,0
2018-05-31,"tldr filters air   riddled  things   cant breathe  just normal air   case    can breathe   air     clean  doesnt need  inhaler anymore   car  least",4,26,708,0,0,0,1,1,1,0,1,2,1
2018-05-31," like  new delivery system ",3,5,198,0,1,0,0,0,0,0,1,0,1
2018-05-31,"question ",1,3,18,0,0,0,0,0,0,0,0,0,1
2018-05-31,"huge thank   denver tesla service center   getting model 3  wo appt first thing  monday   quick  diagnose  case  get    running  end  day thank ",3,3,35,0,0,0,1,0,1,0,1,1,2
2018-05-31,"check   new album space  instrumental space journey inspired  
also available  itunes google play   streaming services",0,12,12,0,1,0,1,2,0,1,1,0,3
2018-05-31,"",8,7,21,0,0,0,0,0,0,0,0,0,0
2018-05-31,"   stock footage   guy sleeping  using tesla autopilot  still online",1,1,24,0,0,0,0,0,0,0,0,0,0
2018-05-31,"tesla      ",1,1,205,0,0,0,0,0,0,0,0,0,0
2018-06-01,"",3,2,21,0,0,0,0,0,0,0,0,0,0
2018-06-01,"holy sht   amazing car   little things  make    joy  drive conquered mountains  traffic today   stress  anxiety range seems  go    love  thing thanks",12,24,231,1,1,0,1,2,1,0,0,2,3
2012-07-07,"didnt know ",0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06,"  fast action   side
 really excited  hear  guys shipping  powerwalls 
kudos     team",3,23,207,0,1,0,0,2,0,1,2,0,3
2018-06-01,"80 mistakenly think  

  single tweet  musk ever mentioned  actual founders eberhard  tarpenning  one 

sucks ",4,40,39,0,0,0,0,0,0,0,0,0,1
2018-06-01," youre online 

 
",2,6,19,0,0,0,0,0,0,0,0,0,0
2018-06-01," just launched  beta feature ",1,13,34,0,0,0,0,0,0,0,0,0,1
2018-06-01,"will",14,5,115,0,0,0,0,0,0,0,0,0,0
2018-06-01,"hows      bullish argument ever $tsla 25 margins  base  35k  model 3s  much higher priced   add options",3,8,32,1,0,0,0,0,0,0,1,1,1
2018-06-01," functions   awesome   imagined yes   tell    big selling points",1,0,238,0,0,0,0,0,0,0,0,0,0
2018-06-01,"yes sir",2,0,64,0,0,0,0,0,0,0,1,0,1
2018-06-02," common expression  people today   tell   sit   front seat  make sure  look ",14,38,905,0,0,0,0,0,0,0,0,0,0
2018-06-02," think    better   called tesquila",2,2,97,0,0,0,0,0,0,0,0,0,0
2018-06-02," anyone  making 
ive never imagined  buy  american car   years ago  now  sold  audi s6  mercedes rclass  bought  tesla model s  nissan leaf  hopefully will get  m3 soon",4,1,104,0,0,0,0,0,0,0,0,0,1
2017-10-07,"   cool
getting  powerit will  
thank   stepping  
elon musk pueo rico governor agree  move forward  tesla rebuilding pueo ricos power grid",5,97,133,0,0,0,0,0,0,0,1,0,3
2018-06-02,"  teslaquila   promised",4,1,189,0,0,0,0,0,0,0,0,0,0
2018-06-02,"speaking  wine    going    option  red leather ",6,4,330,0,0,0,0,0,0,0,0,0,1
2018-06-02,"tesla",1,5,44,0,0,0,0,0,0,0,0,0,0
2018-06-02," 39 days recovering   rhizotomy surgery  8 year old boy will  coming home friday    awesome    rent  favorite car ",1,14,26,0,1,1,1,1,1,0,1,1,1
2018-06-02,"next year",58,28,1600,0,0,0,0,0,0,0,0,0,0
2018-06-03,"heres  sho story   power sales  marketing

although 

edison   genius marketer although    tactics  questionable",2,11,21,0,0,1,1,0,0,0,1,1,1
2018-06-03,"supercharger   view currently   brand new",0,1,67,0,0,0,0,0,0,0,0,0,0
2018-06-03,"sunday means another new episode  ",5,9,90,0,0,0,0,0,0,0,0,0,0
2018-06-03,"",1,3,18,0,0,0,0,0,0,0,0,0,0
2018-06-03,"just drove ",0,0,17,0,0,0,0,0,0,0,0,0,0
2017-10-07,"  fantastic amazing  cool ",0,5,8,0,0,0,0,0,0,0,0,0,1
2018-06-03," think overall  need  info  
1 scale
2 timelines
3 revenue
4pro bono
5 overall increase  battery production
6   1gw+ project included   11k
7 etc

$tsla",2,1,18,1,1,0,0,0,0,0,0,1,3
